no,text
2013,Beat của anh Triple_D đánh cho anh Tùng nghe quá đỉnh
2014,Cố lên hero Team và stream mer ơi top 1 thịnh_hành
2015,thấy lùm xùm nên vào coi ra sao.. ai như tôi không
2016,Chị hát hay hát hay hơn hương tràm giọng chị trong_sáng hơn tràm giọng chị tràm nghe khàn_khàn không hay bằng chị chị
2017,"* Cam on bai PICKLEDBALL nhé * * Nho nhac nay ma toi không bi am anh boi bai "" Trinh "".. *"
2018,Đấm vào tai. Không phải ai tên chi cũng hát hay như thuy chi đâu nhé :đảo_mắt: :đảo_mắt: :đảo_mắt:
2019,Tân_Hiệp Phát hân_hạnh đồng_hành cùng Sơn_Tùng_MÀY - TP tôi xin tay chay Tan_Hiep_Phat va thang Son_Tuong nay
2020,"Hay mà, các bạn cứ cho thích đi có chết ai đâu"
2021,Nhờ ôg Tùng mà một_số người nc ngoài có động_lực_học tiếg Việt đó mấy chế = ) ) ) )
2022,có nhiều bạn nói vì là MV mới nên chưa tốt này_nọ... Nhưng theo mình nghĩ Chippu không nên đi hát hoặc hát cho vui thì tốt hơn. GIọng Chippu nghe không hay 1 tý nào cả... ngay từ lần đầu nghe Chippu hát thì đã xác_định là giọng bạn không hợp với làm ca_sỹ rồi
2023,Nghe_nói MV của Sếp bị nhiều thằng Anti nó Không thích quá nên phải vô đây để góp thêm 1 cái Không thích nữa.
2024,bọn 365 là do tụi con_nít nó hay mởra nhảy_múa sao = tùng được
2025,"Trang_phục đẹp, hình_ảnh đẹp. Còn những cái khác no cmt"
2026,lúc đầu nghe thấy bình_thường nhưng càng nghe nhiều lần thấy hay
2027,xem Lạc_Trôi xog lục lại xem hết mv cua Son_Tung lun í :cười_ra_nước_mắt:
2028,Mình thấy nghe lần đầu thì không quen lắm. Nhưng nghe nhiều thấy được. Cơ_mà nhiều người không thích quá
2029,Gu ăn_mặc quá tệ. Giọng hát thua người bình_thường
2030,""" Tôi hiểu ra rằng tất_cả chúng_ta chẳng bao_giờ tốt lên Tất_cả cùng kéo nhau xuống thật sâu, thay_vì đỡ nhau lên "": ) )"
2031,MV chất. Chuc anh luôn thành_công nhé: * Hay quá 1 ngày xem đi xem_lại không biết_bao_nhiêu lần luôn
2032,Không phải fan ST nhưng đã là người việt thì nên ủng_hộ nhau sao cứ dìm nhau
2033,"theo em, chị cũng không cần phải quá đa_dạng với nhiều vai_trò đâu ạ. chị chỉ cần làm diễn_viên, người_mẫu ảnh, vv,... em thấy phù_hợp hơn khi chị bỏ lòng đam_mê vào đấy. còn về vãi chưởng chị muốn lấn sang làm ca_sĩ, trước_tiên cần phải có giọng hát, niềm đam_mê với nghề. ở đây em thấy chị giọng của chị là giọng yếu, không có nội_lực, lời bài hát em thấy rất nhàm_chán. chị chỉ làm diễn_viên là ok lắm rồi ạ"
2034,"Ăn_cắp vẫn mãi là ăn_cắp thôi, tật xấu không đổi được, giang_sơn dễ đổi, bản_tính khó dời mà. Haizzz"
2035,"mấy ban antifan đã ghét thì tốt nhất đừng nên xemmm... xem xong phê với cả phán nhức óc,"
2036,Cô Ngân rap dở mẹ rap hoài sao không để Hà_Thảo_Linh rap
2037,"Bài_Ca_Sky < ( "" ) "" Mình không phải sky hay anti nhưng mình thấy... "" "" Tuy không phải là sky nhưng... "" "" Tuy không phải fan Sơn_Tòng nhưng... "" "" Không phải bênh_vực Tùng nhưng... "" "" Mấy người được như Tùng không mà nói... """
2038,nghe lần 1 chẳng hay gì cả nghe lần 2 thấy liêu điêu nghe lần 3 nghiện cmnr luôn... ặc ặc
2039,"Theo mình thấy mv cũng đầu_tư lắm đó chứ, giọng hát tuy không phải xuất_sắc nhưng cũng không đến_nỗi tệ mà... Chỉ có_điều với một mv hoành_tráng vậy thì nên có lời bài hát hay hơn, đâu tư cả về âm_thanh lẫn hình_ảnh thì tốt hơn..."
2040,exo monster 50 triệu lượt xem rồi còn 9 triệu lượt xem mới đuổi kịp
2041,"hằng ngày vẫn xem dù không có mục_đích cày lượt xem, vì nó hay thì mình xem thôi :cười_tươi_mắt_cười: :thư_giãn:"
2042,Các bạn đừng nói quá lên. Có_thể là giọng chi chưa phù_hợp với bài này. Là Chi sai trong cách chọn bài và cách phối thôi. Chứ các bạn nghe Chi hát bài Trở về đi chưa? Sao không thấy ai chê Chi giọng yếu trong bài đấy. Chi có giọng nhưng vấn_đề ngắn_gọn là chọn sai bài thôi.
2043,không: 31 lạc trôi giữa bầu_trời ta lạc trôi giữa trời
2044,hơn 8 triệu rồi. sky ơi ủng_hộ nhiều đi
2045,"Tối 8h ở tầng 4 mường thanh nhosoo, em mặc sẵn đồ con thỏ"
2046,Bọn hero team dở quá solo không id 2551544676 kai rap hay đấy kinh sam rap như ị
2047,Em của ngày hôm_qua vẫn muốn nghe nhiều lần nhất: )
2048,Hay như_vậy mà sao mấy đứa trẩu nó cứ nói Tùng!!!!
2049,"Cho_dù có nhiều người bình_luận không tốt về MV của chị nhưng chị ơi hãy cố lên. Hãy cho người khác biết chị không_chỉ ở tầm này mà_còn ở tầm cao hơn_nữa. Chị phải cố_gắng nỗ_lực, tất_cả cũng chỉ vì đam_mê: )"
2050,anh có tài_năng âm_nhạc đó giấu mẹ Nó đI aNh eiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii :lăn_ra_cười: :lăn_ra_cười: :lăn_ra_cười: :lăn_ra_cười: :lăn_ra_cười: :lăn_ra_cười: :lăn_ra_cười: :lăn_ra_cười: :lăn_ra_cười: :lăn_ra_cười: :lăn_ra_cười:0 :lăn_ra_cười:1 :lăn_ra_cười:2 :lăn_ra_cười:3 :lăn_ra_cười:4 :lăn_ra_cười:5 :lăn_ra_cười:6 :lăn_ra_cười:7 :lăn_ra_cười:8 :lăn_ra_cười:9 :lăn_ra_cười:0
2051,"Bài hát với giọng pu quá tệ để làm ca_sĩ, làm tôi nhớ đến vụ angela Phương_Trinh ngày trc cũng học_đòi làm ca_sĩ: ( ("
2052,dù ai nói dì hay chê tùng ra sao anh vẩn ủng_hộ tùng
2053,diss mẹ st mượn tác_phẩm diss me sì ' ss ke ' ss diss mẹ st mượn tác_phẩm diss me sì ' ss ke ' ss diss mẹ st mượn tác_phẩm diss me sì ' ss ke ' ss diss mẹ st mượn tác_phẩm diss me sì ' ss ke ' ss diss mẹ st mượn tác_phẩm diss me sì ' ss ke ' ss
2054,Từ có chắc yêu là đây về. Cố lên 200M nhá
2055,em muon ngoi người đon nhân thi pai co 1 bai hat hay va hot thi moi người mơi chù ỳ toi em. kon cu hat mây bai xàm xàm nay thi không ai nghe noi
2056,Có ai vừa xem vừa đọc comment... Toàn người nước_ngoài mà vui như tôi hông.. Điểm_danh :cười_rạng_rỡ: :cười_rạng_rỡ:
2057,MV có cô người_mẫu có cái nốt_ruồi trên miệng thấy tíu tíu ^ _ ^
2058,Anh có tài_năng và nhớ dấu nó luôn nhe ^ ^
2059,Rap chậm em chậm học kiệp mays anh rap nhanh quá học không kiệp
2060,Lên tóp 2 đi mọi người ơi à nhầm tóp 1 :cười_toát_mồ_hôi: :cười_toát_mồ_hôi: :cười_toát_mồ_hôi: :cười_toát_mồ_hôi: :cười_toát_mồ_hôi: :cười_toát_mồ_hôi: :cười_toát_mồ_hôi: :cười_toát_mồ_hôi: :cười_rơi_nước_mắt: :cười_rơi_nước_mắt: :cười_toát_mồ_hôi:0 :cười_toát_mồ_hôi:1 :cười_toát_mồ_hôi:2 :cười_toát_mồ_hôi:3 :cười_toát_mồ_hôi:4 :cười_toát_mồ_hôi:5 :cười_toát_mồ_hôi:6 :cười_toát_mồ_hôi:7 :cười_toát_mồ_hôi:8 :cười_toát_mồ_hôi:9 :cười_toát_mồ_hôi:0 :cười_toát_mồ_hôi:1 :cười_toát_mồ_hôi:2 :cười_toát_mồ_hôi:3 :cười_toát_mồ_hôi:4 :cười_toát_mồ_hôi:5 :cười_toát_mồ_hôi:6 :cười_toát_mồ_hôi:7 :cười_toát_mồ_hôi:8 :cười_toát_mồ_hôi:9 :cười_toát_mồ_hôi:0 :cười_toát_mồ_hôi:1 :cười_toát_mồ_hôi:2 :cười_toát_mồ_hôi:3 :cười_toát_mồ_hôi:4 :cười_toát_mồ_hôi:5 :cười_toát_mồ_hôi:6
2061,Mình có đứa bạn làm nhân_viên quán cf. Nó bảo nó là fan ruột của bài này vì từ khi bài hát ra_đời nó không cần phải đi làm về muộn nữa. ┐ ⁠ ( ⁠ ￣ ⁠ ヘ ⁠ ￣ ⁠ ) ⁠ ┌
2062,"Gần 60tr lượt xem, phải nói là Tùng núi có phong_cách rất Tây trong MV này, cộng thêm điệp_khúc Pop, Rap và Dance đẹp, chắc sẽ lượt xem tăng không ngừng trừ khi có MV khác kiểu hiện_tượng mới như "" Vợ người ta "" ngày trước!"
2063,Mình thích chị chi pu chị ơi hay lắm cố lên nhé chị
2064,"Ai thấy hay thì nghe thôi, tôi thấy hay, nghe giải_trí"
2065,sky ơi!!! 1 tuần có_thể 20 triệu lượt lượt xem được không? Cố lên sky ơi lập kỷ_lục sky ơi!!! Fighting!!!
2066,Ai mà dis là vì họ ganh_tị với chị pu thôi :hôn_nhắm_mắt: :hôn_mỉm_cười:
2067,Nghe cũng tạm được mà trang_phục và phong_cách trong mv thì xấu tệ_hại luôn trời_ơi
2068,"Chipu là một cô gái rất xinh_đẹp và tôi tin là cô ấy cũng có một nhân_cách tốt nữa. Nhưng bấy_nhiêu thôi_thì thực_sự chưa đủ để làm_nên một nghệ_sĩ. Ít_nhất, bạn phải cho người ta thấy được cái chất riêng, cái cá_tính riêng tạo nên con_người bạn. Có_thể Chipu quá nhạt_nhoà, không có cá_tính, và cũng có_thể tôi không nhìn ra được cái chất nghệ của Chipu!"
2069,"100. 002. 846 lượt xem rồi SKY ơi, Chúc_mừng Sơn_Tùng nhé ^ ^"
2070,Hay............ Hay nhucac
2071,Mọi người cố lên top3 zồi cố lên top 1 thịnh_hành nào mọi người :cười_tươi_mắt_to: :cười_tươi_mắt_to: :cười_tươi_mắt_to: :cười_tươi_mắt_to:
2072,thấy tin với báo mạng nói ầm_ầm nên xem thử không thích cũng chẳng không thích vì không phải là fan của MTP
2073,chúng_ta không thuộc về nhau vì anh không biết luộc rau
2074,"Cố_gắng làm gì khi cuối_cùng cũng không có gì ngoài nhan_sắc: ) cứ đi event bình_thường là ngon rồi, chứ chen_lấn làm ca_sĩ làm_gì không biết: )"
2075,"vũ_đạo tệ quá, giọng cũng... nhưng được_cái mv đẹp, xem vẫn ổn, em nghĩ chị cần thời_gian để cố_gắng, chắc_chắn sẽ cải_thiện thôi, mv này cũng kg đến_nỗi bị ném đá như_vậy đâu, chị đừng buồn nhé!"
2076,Trình coppy của sếp ' ss ngày_càng cao_tay nhé: ) ) từ Kpop qua USUK luôn rồi
2077,còn gần 2 triệu nữa thôi là 100 triệu lượt xem rồi cố lên ae
2078,Hay mà sao mọi người bình_luận tiêu_cực thế :cười_toát_mồ_hôi:
2079,"Hẳn là anh ấy tự sáng_tác,,,,, tôi hiểu mà,,, chỉ là anh mượn một xíu của bài We don ' tôi anymore với một xíu rap của rap monster thôi mà,,, xíu chứ nhiêu :thư_giãn: :thư_giãn:..... làm tôi cảm_thấy giận_dữ và trống_rỗng :cười_ra_nước_mắt: :cười_ra_nước_mắt:"
2080,Đoạn intro của clip làm hơi xơ xài nhưng đoạn sau rất là ok Mới làm_nên ae ủng_hộ
2081,Cố lên mọi người cày lên top thịnh_hành nào mọi người ơi
2082,Anh này bị vôi_hoá cột_sống à ta sao lưng cứ cong như tôm vậy
2083,Hay lắm chị ơi. Chúc chị thành_công trên con đường ca_hát nhé. Họ nói gì kệ họ
2084,Đang tá bón ghe cái phọt ra hết chữa tá bón tốt thật
2085,anh không ra mv ra là hót luôn không hẳn sky nhưg thíc điên ntn
2086,nghe mấy lần đầu không quen giờ nghiện cmnr ngày_xưa tí thì làm sky ^ ^
2087,Trẻ_con ghê mấy bà vẫn cuồng bài em_gái mưa thấy bà ht nói gì là hùa theo ngay rồi đi không thích người khác sản_phẩm đầu_tay của chị chi chưa có kinh nghiêm còn về lời là của bà trang pháp viết tệ chứ liên_quan gì chị chi ( Nhận gạch đa )
2088,Như phiên_bản việt cover của We_Don ' tôi Talk_Anymore
2089,"1 MV mang ma tinh rat manh, the hien su bai hoai cuar dao duc nhan loai"
2090,Bộ đôi quỷ diệt sammy x phong kìa anh_em ư
2091,Anh phong nghàu quá đi hihiiiiiiiiii anh siro cũng dại đó chị simmy và chị Sammy và anh vịt :le_lưỡi: :le_lưỡi: :le_lưỡi: :le_lưỡi: :nháy_mắt_le_lưỡi: :nháy_mắt_le_lưỡi: :nháy_mắt_le_lưỡi: :nháy_mắt_le_lưỡi:
2092,"15s là tính lượt xem nhé, tôi Fan_Tuấn_Hưng nhưng thấy bài này nghe được, Mv đẹp thì xem cơ_mà hình_như là hơn 100k cmt mà giờ còn có 43k là sao?"
2093,Sim đẹp nhất thế_giới này luôn hai chị_em
2094,sếp ' s Tùng ' s chó ' s đạo ' s hay ' s quá ' s sì ' s ke ' s ơi ' sss hihi đồk ' s ngốk ' s
2095,tung oi dung co quan tam mày. người noi ca cu ra that nhieu bai vao nhé tung.....
2096,nc ngoài người ta khen quá_trời ma nc mình lại đi chê buồn thật. Tùng ơi đừng tuyệt_vọng nhé
2097,Bài hát rất hay. Vũ_đạo cũng đẹp. Tuy_nhiên em thấy không hợp phong_cách của chị lắm: >. Mong những MV sau sẽ hay hơn_nữa!
2098,Nghe lần đầu không bất tai lắm... Nghe lần hai giền luôn
2099,"Chúng_nó bảo em chọn pickleball hoặc ngôi_sao call đơn, 1 bài để tra_tấn, 1 bài để healing. Em không_thể chọn bài của anh để healing được anh ạ, bài của anh hay quá :trái_tim_đỏ: :trái_tim_đỏ:"
2100,Không biết làm MV kiểu gì mà người nước_ngoài toàn vào cmt ' cậu bé này làm tôi nhớ đến một người. Charlie_Puth '. Bỗng_nhiên thấy xấu_hổ. Quá dống we dont talk anymore
2101,mọi người có để_ý là không thích nhiều hơn thích không :hôn_gió: :cười_ra_nước_mắt: :cười_ra_nước_mắt:
2102,Hãy cho bài hát này vào những bài hát tra_tấn kinh_khủng nhất thế_giới
2103,"Thanh_tra chính_phủ cần đào sâu mọi ngóc_ngách. Thực trang hiện_tại đang rất bất_ổn, các cty đang chạy_đua lợi_nhuận giảm hẳn mặt chất_lượng"
2104,"Không phải Fan nhưng_mà cũng chúc Tùng thành_công, người Việt_Nam với nhau đã không ủng_hộ nhau thi đừng có chửi nhau, Thân_ái"
2105,Có ai là fan BTS thấy đoạn rap giống Rap monster trong Fire không?
2106,Mình nghe thấy hay mà nhiều bạn chê quá. Chắc tại mình tai trâu rồi :cười_tươi_mắt_cười: :cười_tươi_mắt_cười: Mà hẳn là trong số những người chê đó cũng có rất nhiều tai trâu như mình nhưng ném đá theo phong_trào :nháy_mắt_le_lưỡi:
2107,"hay lam anh tung oi, mac ke nguoi ta noi gi nhung em cung thich nghe nhac cua anh ma thoi, vi em la pan cua anh lau roi, :thích: :thích: :thích: :thích:"
2108,Ai anti thì CLICK BACK dùm!!! SKY thì ủng_hộ lượt Lượt xem + THÍCH Mv < 3
2109,Không biết ai sáng_tác bài hát này mà nghĩ ra được mấy lời phô với mì_ăn_liền như_vậy nữa... Ôi...
2110,giờ ai cũng có_thể làm ca_sĩ nhỉ... hát trong mv như_vậy... không biết khi live sao nhỉ
2111,cảm_ơn anh đã làm 1 người tai như em điếc cmn luôn
2112,i took anh pill in ibiza lời bài hát mình nge bai nay kung thấy jog jog cach phối nhac bai nay nghe nhàn mà nhảnh kinh_điển mà công_nhân anh stmtp ăn ảnh ge ha.. sói ca cua mấy bạn nữ đó ha ) )
2113,Hình_như là cả thế_giới đang chống lại Chipu thì phải? Nhưng mình vẫn ủng_hộ Chi... chúc Chi thành_công.
2114,"tỷ Chi hát hay, MV lại rất đẹp nữa, không biết xem bao_nhiêu lần rùi :cười_ra_nước_mắt:"
2115,kiểu ji táo_quân 2017 cũng có bài này: vậy
2116,"Từ hot girl chuyển qua diễn_viên Từ diễn_viên chuyển qua ca_sĩ Sao dễ quá vậy Hương_Tràm ns là đúng rồi Người ta đã thắng cả một cuộc thi, vượt qua bao_nhiêu người rồi ms trở_thành ca_sĩ là nhờ vào thực_lực Còn bài hát của chi pu là nhờ âm_thanh che_lấp đi giọng Nếu hát live không nhạc nền thì bài hát đó chỉ là đồ bỏ :mặt_ranh_mãnh: :mặt_ranh_mãnh:"
2117,"Giọng ổn, nhạc hay, mv cũng hay. Chipu đẹp và sang quá_trời. Nhìn vũ dạo phê vãi cả lúa. Thiệt coi mấy nữ ca_sĩ kia nhảy mình phát mệt thiệt luôn á. Nhìn mv khác liền."
2118,anh tùng ơi. em đã khóc sau khi xem video này
2119,Bài hát có lượt không thích nhiều nhất nhưng tôi vẫn nghe và ủng_hộ Sky 22 / 5 / 2022
2120,Hero tame mãi đỉnh bên kia không tuổi nhá này này cô ngân à bà khinh_thường ai thì khinh chứ bà khinh chị simmy như thế_này thì bà chán sống à :cười_với_trái_tim: :cười_với_trái_tim: :cười_với_trái_tim: :cười_với_trái_tim: :cười_với_trái_tim: :cười_với_trái_tim: :cười_với_trái_tim: :cười_với_trái_tim: yêu hero tame
2121,bài này hay quá nghe hoài không chán quá hay
2122,"cố lên chị ơi, em biết chị đã cố_gắng thật nhiều, bài hát này bắt tai lắm ạ, tuy chưa thật xuất_sắc nhưng chị đừng bỏ_cuộc nhé. 5ting"
2123,"CP không phải người có nhiều anti fan, nhưng lượt không thích hơn thích thì nên xem_xét lại, không khen không chê nhưng phải nhìn_nhận cách khách_quan, đừng binh vực thần_tượng rồi cãi nhau"
2124,Trả ra cái cờ cờ gì. Không thích. Đờ mờ thằng tùng núi
2125,quá hay sếp ơi. kệ bọn antifan đi. sếp hát vì sky mà. cố lên sếp ơi
2126,Tại vì anh thôi yêu cô_đơn nên đôi_khi quá dại_khờ
2127,Giải của gấu đi thi thành Thế_giới động_vật :lăn_ra_cười: :lăn_ra_cười: :lăn_ra_cười:
2128,"RẤT HAY, THẤY CÓ GIỐNG BÀI WE DON ' TÔI GÌ GÌ ĐÓ ĐÂU TRỜI, NGƯỜI VIỆT VỚI NHAU THÌ HẢY BẢO_VỆ NGƯỜI VIỆT MÌNH, CỨ ĐI BẢO_VỆ CÁI THẰNG ĐÂU_ĐÂU BÊN NƯỚC_NGOÀI, MẤY THẰNG NGHỆ_SỸ GHEN_ĂN_TỨC_Ở VỚI SỰ THÀNH_CÔNG CỦA SƠN TÙNG ĐÓ MÀ"
2129,có_thể dùng bài hát này như một dẫn_chứng chống lại quyền tự_do ngôn_luận.
2130,có phải anh bạn tới đây để đọc comment thay_vì nghe nhạc? :nhướn_mày:
2131,Mình không phải sky = > câu nói rất vô_dụng: vậy
2132,anh hẹn em pickleball :nói: :nói: nó rất là hay đến nổi khi nghe thằng bạn tôi lên_cơn pickleball
2133,MÀY nghĩ Chi vẫn hợp làm diễn_viên hơn là ca_sĩ
2134,Anh phong và chị xammy và cai ron và mèo siêm mi cố lên
2135,trào_lưu gì vợi. fan tùng chúc tùng thành_công: ) ) )
2136,"Ừ, "" Sơn_Tường "" có khác :cười_đỏ_má: Bê mẹ cái tên vào mv :cười_ra_nước_mắt:"
2137,"thấy bài này giai_điệu cũng đâu tệ lắm, dở chỗ nào nhỉ"
2138,Lúc đầu nghe không hay cho lắm càng_ngày_càng hay yêu chị hãy cố_gắng lên team chi pu đâu điểm_danh
2139,chả hiểu bài nó nói về cg nghe chả hiểu...
2140,Streamer hơi khiêu_khích hero team nhất_là khi cô ngân rap với simmy.: (
2141,"hóng Mv này lâu rồi. và khi nghe lần đầu_tiên em nhận ngay ra rằng đoạn rap mv này khá giống đoạn đoạn ráp trong Fire do Rap_Monster của BTS thể_hiện, đoạn: Hey... Từng đêm qua... Cơn mưa bao_vây chia rời đôi ta Em... Ngày hôm_qua... Cuốn gió theo mây đi về nơi xa.. nói chứ cũng thích nghe nhạc MTP lắm không phải sky cũng chẳn là anti. đơn_giản thích nghe vì giai_điệu mới_mẻ sôi_động không bị nhàm. không theo lối mòn Vpop xưa_nay."
2142,"Phài ớ ê ồ ê ồ... Hây, bơn ít ắp: ) ) ) ok fine Tùng ạ: ) ) chạm rất đúng người ^ ^"
2143,Sao MV này không có Charlie với Selena ta...: vậy
2144,"thật tuyệt khi ta có một bài hát có_thể chữa_trị bệnh câm_điếc, thực_vật và lãng tai"
2145,em phái bài lạc trôi và bài chúng_ta không thuộc về nhau
2146,"ừ. bài này hay nhưng nghe chả hiểu gì ngoài câu "" chúng_ta không thuộc về nhau "" :cười_ra_nước_mắt:"
2147,nghe đến lần thứ mấy thì chán hả mấy bạn
2148,không lên đk 100M trong hôm_nay ạ mày. người ơi. sắp cán mốc rồi quay ra cày đê ạ
2149,vào hồi tôi mới biết sếp là ai thì tiếng anh của tôi rất rở. thấy sếp rất giỏi tiếng anh tôi quyết_tâm học tiếng anh bằng cách học từ những lời sếp hát. gìơ đây tôi đã làm được. tôi đã giỏi bằng sếp. tôi chỉ muốn nkí cảm_ơn sếp. we is love your your am beautiful
2150,"Uzmm_Sao nhỉ... Chi mới_đầu vầy là khá ổn, nhưng_mà cá_nhân mình thấy chất giọng của Chi hơi mỏng nên thể_loại nhạc này có_vẻ không hợp với Chi, giọng cute cute như_vậy hợp với phong_cách nhạc khác hơn như chillout hoặc như YÊU chẳng_hạn. Còn một điều nữa là người viết lời bài hát cho bài hát chán quá, thật_sự cái lời bài hát không_thể tưởng_tượng nổi. Về phần Chi cố_gắng hơn nhé, chúc thành_công hơn ở sản_phẩm sau, tiện_thể thì Chi xinh lắm."
2151,Cô Ngân không được xinh như chj Simmy thì phải
2152,dự là 1 tháng nữa mv lên 100trieu luot xem. kaka. ngon
2153,nghe bài we don ' tôi talk anymore còn hay hơn nhiều
2154,"lượt xem nhiều hơn We don ' tôi talk anymore. thử so_sánh về thích xem ai nhiều hơn ( Chalie gấp đôi ), diss thích xem ai ít hơn ( Sơn_Tùng gấp 28 lần ). Số_liệu được ghi vào 18: 10 ngày 3 / 8"
2155,ôi sịt ms mấy ngày không nge mà nó lên 91 chai rồi khiếp vãi @ @
2156,Chắc ổng biết ra bài này sẽ bị chửi với cái lời bài hát này rồi mà do flop nên không còn đường khác những sản_phẩm trước hay thế cơ_mà
2157,"im luôn đi cô ơi, hát chi cho khổ thiên_hạ"
2158,mới có 24 tiếng mà lên 3 triệu lượt xem rồi. gê nhỉ
2159,"Sơn tùng hat rat hay, em se la fan ham mo cua_anh"
2160,Mọi người sai hết rồi thật_ra pickleball có kinh_khủng đến đâu cũng không bằng ĐỖ THỊ THIÊN_LÝ :đầu_lâu_xương_chéo: ️
2161,1PHUTS MẤY CMT LUÔN NỔI QUÁ SẾP TÙNG KAKA NHỤC MÀY CHƯA
2162,ae ơi hình_như đoạn 1: 38 Tùng bảo quẩy lên phải không nhể
2163,Em thích cô ngân và sammy đào và mèo simmy :trái_tim_đỏ: :trái_tim_đỏ: :trái_tim_đỏ: :trái_tim_đỏ: :trái_tim_đỏ:
2164,KHÔNG hay lắm. Nghe cứ ngang_ngang kiểu gì ấy.
2165,01682330635 sơn tùng hết chạy kp zlo nhe của xếp tùng đó
2166,Nơi đâu để anh giấu nỗi buồn vào trong thơ
2167,"Đọc báo về việc của sơn tùng với trang pháp, hoàng bách! Lại nhớ và muốn coi lại video này! Đúng là đã thích thì có sao vẫn thích"
2168,Đứa nào nói hay thi nó là 1 đứa xạo l rất rất xạo l. Hay cl chứ hay.
2169,"Người khen có, người chê có. Riêng tôi, Tùng MV này quá đẹp_trai!: ) Ước chi được 1 nữa chú Tùng: ( ( '"
2170,Cày ik mấy mẹ!!!!!! Mà cày lên Top 1 thì đừng để tụt nhá!!!! / _ /
2171,thôi_thì mày. người xem tới 90tr đến 31 / 12 được khongggg?? :thất_vọng: :thất_vọng: :khóc_nức_nở:
2172,Cố lạc trôi được 10t lượt xem trong bố ngày. CTKTVN được 100t lượt xem nhé mọi người
2173,tôi là 1 lesbian và gia_đinh tôi đã phản_đối rất gay_gắt điều đó. họ bảo đấy là điều tồi_tệ nhất cho đến khi tôi bật pickleball của anh Quí lên. bây_giờ tôi có_thể thoải_mái yêu_đương với bất_kì cô gái nào tôi muốn. cảm_ơn anh quí rất nhiều :trái_tim_đỏ: ️ ‍ :lửa: :trái_tim_đỏ: ️ ‍ :lửa:
2174,CHỊ SAM MY VÀ ANH PHONG CẬN NGẦU QUÁ :cơ_bắp: :cơ_bắp: :cơ_bắp:
2175,"Thảm_hoạ thời_trang, thảm_hoạ giọng hát :la_hét_sợ: :la_hét_sợ:"
2176,"2025 đến_nơi rồi ai còn nghe, sắp thành 9 năm về trước :khóc: :cười_ra_nước_mắt:"
2177,"Ý_kiến cá_nhân: mình thấy chị Chi đã đầu_tư rất nhiều vào sản_phẩm này tuy_nhiên thực_sự thì mình cảm_thấy nó chưa đủ để gọi là một sản_phẩm âm_nhạc chất_lượng, phần nhìn rất được nhưng phần nghe thì thật_sự rất tệ. Để trở_thành một ca_sĩ solo thì trước_hết phải có giọng hát, có_thể giọng không khoẻ nhưng ít_nhất thì phải truyền_đạt được cảm_xúc và biết nhấn_nhá hoặc là có màu giọng đẹp. Vì bài này do PD Hàn sản_xuất nên đậm chất Hàn. Mình là fan Kpop 9 năm rồi nên mình hiểu nhạc của Hàn khi dịch sang tiếng Việt thì sẽ khó mà mượt_mà được. Nếu chị Chi thực_sự muốn theo_đuổi sự_nghiệp ca_hát thì chị nên đi học thêm thanh_nhạc, giọng hát của chị không quá tệ nhưng nó không có cảm_xúc và cũng không có kỹ_thuật thanh_nhạc. Bài này chỉ có beat hay chứ phần hát không ăn_khớp với nhạc, kiểu chỉ như là đọc luyến_láy chứ không phải hát. Phần hát cũng đã được chỉnh_sửa khá nhiều. Một ca_sĩ solo không_chỉ cần có kỹ_thuật biểu_diễn và cần có giọng hát."
2178,Mr. vịt kiểu: tôi nhịn mày hơi lâu rồi Bác gấu kiểu: anh tha em anh ơi :cười_ra_nước_mắt: :cười_ra_nước_mắt: :cười_ra_nước_mắt: :cười_ra_nước_mắt: :cười_ra_nước_mắt:
2179,THÍCH cái cho có động_lực. chúc bạn thành_công! mặc_dù theo mình mấy thể_loại nhạc lạm_dụng công_nghệ kiểu như này chả có tý cảm_xúc nào cả. các bạn đừng có ném gạch cho có phong_trào thay_vì động_viên cho sự khởi_đầu mới của họ tốt hơn.
2180,"Em bị trĩ :khóc:, sau khi nghe xong bài này em không khỏi trĩ :bướm:"
2181,Cày w để CTKTVN đạt cột mốc 100tr w đi cả nhà ơi!
2182,"hình_ảnh MV quá tệ, nhạc thì dỡ thật_sự mình không nghe nổi, hy_vọng mv tiếp_theo khá hơn"
2183,Có ai cày mv này 3 4 lần lại ra nghe We don ' tôi talk anymore không
2184,Người_yêu thứ nhất và thứ bố của SƠN TÙNG nhìn đẹp thật.
2185,Sao nhìn ai rap cũng dữ dữ tí mà sao chị hà thảo linh rap hiền thế
2186,Rap_Việt mùa này cô ngân không tham_gia là mất 1 dân tài làm ráp bơ việt_nam: ( ( (
2187,Các mày đang bị lừa rồi. HT đang pr cho chipu đấy. Chung mày tò_mò sẽ vào nge nhiều. Thành nghiện haha
2188,Tôi bt tên của chị mèo simmy rồi Tên thật là trúc_đào
2189,Chị ơi Em phải vừa nghe vừa ăn 5 kí muối cho đỡ nhạt: ) ) )
2190,"Nhạc thì đạo ( lên facebook Thế_Anh ), hát thì tằng tằng, chi 1 tỷ mua trang_phục nhưng nhìn chi pu chỉ dừng lại ở mức xinh_xắn thôi chứ không có thần_thái sang choảnh quyến_rũ được: ) ) ) ) )"
2191,chú Đen sắp ra Mv đề_nghị mọi người tập_trung ngày_mai
