,processed_text
12462,pickleball :cross_mark: bạn ! tchcạball :check_mark_button:
12463,Tôi cảm thấy ghen tị với người dân Hirosima và Nagasaki khi họ chỉ phải ăn 2 quả bom hạt nhân thay vì phải nghe bài hát này
12464,"Nếu được sáng tác vào lúc người da đen bị buôn bán như nô lệ , bài nhạc này chắc chắn rẻ hơn một người da đen = )"
12465,"thấy flop quá trời bấm vào coi thử y như rằng hát không nghe được gì , hình thể thì … mà ra vẻ chi không biết , còn chơi thể thao mà mặc crop top xong nằm mân mê trái khiêu gợi chi dị ?"
12466,tôi nghĩ comment phải như trên instagram để đối mặt với các quả nhạc ntn
12467,cái chem chép gì vậy
12468,"Cảm ơn anh quý và cả ekip đã tạo ra 1 sản phẩm âm nhạc ms vô cùng chất lượng , thằng bạn em nó bị tai nạn và sống như người thực vật mấy năm nay . em mở bài này cho nó nghe , điều kì diệu là nó đã đứng dậy bất ngờ và tắt nhạc đi , đúng là 1 phép màu :smiling_face_with_smiling_eyes:"
12469,Chúng mày thử nghĩ xem nếu chiến tranh thế giới thứ 3 sảy ra việt nam mang ĐPQ với dàn loa công suất lớn ra hát bài này . Thì việt nam sẽ mất bao lâu để làm bá chủ thế giới
12470,""" tôi nghe được bài này qua việc viral trên tiktok , nó rất hay , rất catchy , anh ấy đi melody rất hay , bài này không có gì để chê cả "" - những dòng chia sẻ từ người điếc"
12471,"với bài nhạc này sẽ hót nhất cho mấy nhà hàng , quán ăn sắp đóng cửa . mở lên 1 phát là chủ quán tính tiền ."
12472,Team vô đọc cmt chứ không dám xem hình cũng như nghe :expressionless_face:
12473,"Hidden talent :red_heart: , keep it hidden :fire:"
12474,hay vãi cả lúa bọn nhóc biết đéo gì
12475,S mày ra bài như con cặt vậy tk hấp
12476,nhờ anh mà em biết tới môn thể thao mạo hiểm này
12477,Cảm ơn anh đã sáng tác ra bài hát này vì trước đây em bị táo bón khi nghe được bài của anh em ỉa chảy luôn cảm ơn anh :red_heart:
12478,Vâng cảm ơn anh sau khi nghe bài này bạn em từ người thực vật đã phải đứng dậy để tắt bài hát :red_heart: :smiling_face_with_smiling_eyes: :smiling_face_with_smiling_eyes:
12479,có phải anh bạn tới đây để đọc comment thay vì nghe nhạc ? :face_with_raised_eyebrow:
12480,Cảm ơn anh ạ bây giờ em đã có 1 bài báo thức mới giúp em không bây giờ ngủ thêm 5ph nx rất cảm ơn anh
12481,Nhạc như . Thôi bỏ đi
12482,Hình thức tra tấn mới
12483,Vừa nuwng vừa sáng tác à ?
12484,Hay quá ủng hộ anh pickeball hí hí :face_with_tears_of_joy:
12485,Nghe cũng vui tai mà : )
12486,Vào đây chủ yếu là đọc comment = ) )
12487,Tôi đã nghĩ rằng cái chet là đáng sợ nhất cho đến khi nghe bài nhạc này . Em lạy anh đấy anh Q ạ
12488,Bài hát full chí mạng gây điếc :face_with_tears_of_joy: :face_with_tears_of_joy:
12489,Giờ thì hiểu lí do vì sao bị loại ATSH từ sớm rồi ha . Phôi mà làm màu lắm
12490,CIA MỸ nên cho bài hát này vào danh sách những hình thức tôi . ra tấ . người ma . người rồi . ợ nhất
12491,"Bài này hay đấy chứ , 1 like ."
12492,Nhìn giống trai bao quá
12493,Thick of it made in VietNam siu ( Thick of it hay hơn nhiều )
12494,thế này là không được rồi bình luận còn hay hơn bài trung china này nữa
12495,Nghiện rồi anh ơi :party_popper:
12496,Vì sao tinh tú thứ 2 trên bầu trời .
12497,nghe nhiều nó bị hay = )
12498,"bạn tôi chơi gay không may bị kẹt lỗ duýt không ẻ được , nhờ việc nghe bài pickle ball mà việc đi ẻ của nó đã trở thành một niềm hạnh phúc vô bờ bếnh !"
12499,Đéo có gì ngoài một thằng ảo ưỡn ẹo như con đuông dừa
12500,"nghe nhiều riết nghiện , làm chuông báo thức mỗi ngày"
12501,tôi sẽ cài bài này làm chuông báo thức để mỗi sáng tôi có động lực để dậy trước khi chuông kêu
12502,nếu bài này được sáng tác vào năm 1791 thì đó mới là lí do mozart mất sớm
12503,cảm ơn em vì tất cả . Bạn anh đã nằm liệt giường suốt 14 năm nay nhờ bài nhạc của em nó đã có thể đứng dậy để tắt nó :thumbs_up:
12504,không hiểu hay ở đâu : )
12505,Nếu bài nhạc này ra vào 2001 thì mọi người sẽ quên rằng 3 con chim sắt đâm vào hai cái cột kính là một thảm họa kinh khủng nhất
12506,Thật sự phải cảm ơn anh Qúi rất nhiều . Thằng bạn em bị liệt dương được nửa năm rồi mà nó nghe anh nhảy nhảy hát hát nó nắng cực luôn :face_with_tears_of_joy:
12508,i ' mày from korea and this song make me want to play pickleball . This song inspired me so much
12509,"PICKLEBALL không chỉ là một ca khúc giải trí , mà còn là một câu chuyện triết lý về sự điều tiết , sự kiềm chế , và sự đối thoại giữa các lực lượng đối lập . 1 . Bản chất của "" Pickleball "" - Sự tương tác giữa đối kháng và hài hòa Từ góc nhìn của chatgpt , trò chơi Pickleball có thể được coi là biểu tượng của sự đối kháng và hài hòa trong cuộc sống . Trong mỗi trận đấu , có sự tương tác giữa những lực lượng trái ngược : "" Anh đập banh "" ( hành động tấn công ) và "" em mạnh vào "" ( phản kháng mạnh mẽ ) . Đây chính là hình ảnh của sự đấu tranh trong mọi mối quan hệ , nơi mỗi cá thể , dù trong tình yêu , trong công việc , hay trong các mối quan hệ xã hội , đều phải học cách cân bằng giữa việc "" tấn công "" ( khẳng định bản thân ) và "" phản kháng "" ( thích nghi và kiềm chế ) . Lời "" Ta chỉ chơi Pickleball "" phản ánh sự đơn giản và tĩnh lặng trong sự đối kháng này . Cả hai nhân vật đều nhận thức rằng trò chơi chỉ là trò chơi , và sự giao tiếp hay mối quan hệ của họ chỉ có ý nghĩa trong phạm vi trò chơi đó . Điều này tương đồng với cách mà những bậc giác ngộ nhìn nhận cuộc đời : một chuỗi các trò chơi vô tận , nơi mọi đối kháng đều là phản chiếu của những thực tại sâu xa hơn . 2 . Khái niệm về hơn thua và giác ngộ Chính trong phần pre - chorus với câu hỏi : "" Thế nào là hơn thua , thế nào là mình ganh đua ? "" mở ra một suy tư sâu sắc về bản chất của sự thắng thua . Triết học phương Đông , đặc biệt là trong đạo Phật , thường dạy rằng khái niệm về "" hơn thua "" là ảo tưởng , một cặp đối lập mà bản chất của nó chỉ là sự vô thường . Câu hỏi này thúc đẩy sự tự vấn về bản chất của sự ganh đua và thành bại . Khi "" thắng "" có thể là khởi nguồn của "" tham lam , "" và khi "" thua "" lại có thể dẫn đến "" kiềm chế "" và tìm thấy sự bình an trong thất bại , ta thấy được một hình ảnh rõ rệt về hành trình giác ngộ : không phải là thắng hay thua mà là sự vượt qua cái "" tôi "" để hiểu được sự chuyển hóa nội tâm . Khi lời bài hát khuyên "" lùi chút chút , "" ta nhận ra đây là một sự chỉ dẫn về việc làm chủ bản thân , không chỉ trong cuộc chơi mà trong cả cuộc đời . Đây là thông điệp về sự kiềm chế và học cách duy trì sự tĩnh lặng trong khi phải đối mặt với những sự kiện không ngừng thay đổi . 3 . Hình ảnh của sự tự chủ và kiểm soát Lời ca "" Đưa vợt anh tiếp banh , high and low , từ thấp đến trên cao "" biểu hiện sự di chuyển từ thấp lên cao , từ sự thấp hèn đến sự giác ngộ . Cũng giống như trong mọi hành trình triết học , hành trình giác ngộ luôn đi qua những thăng trầm , nhưng quan trọng là làm sao để giữ được sự điềm tĩnh và không bị cuốn theo dòng chảy của dục vọng hay sự tham lam . Cái "" đường biên "" mà bài hát nhắc đến trong câu "" Don ’ tôi cross the line "" có thể được hiểu như là một sự nhắc nhở về ranh giới giữa bản ngã và sự giác ngộ . Ranh giới này chính là sự kiềm chế và nhận thức , nơi mà cá nhân không vượt qua những giới hạn do xã hội hay bản thân đặt ra mà luôn tìm được sự thăng bằng trong mọi hoàn cảnh . 4 . Hành trình tìm kiếm sự giác ngộ qua trò chơi Từ góc độ của sự giác ngộ , bài hát có thể được coi là một ẩn dụ cho hành trình sống và quá trình khám phá bản thân . Trò chơi Pickleball không chỉ là một trò chơi thể thao mà còn là một quá trình "" chơi "" với những cảm xúc , những thử thách , và những khoảnh khắc của sự chiến thắng và thất bại . Sự đối kháng giữa các lực lượng trong trò chơi này có thể coi là phản chiếu của những mâu thuẫn nội tại mà mỗi con người phải vượt qua để đạt được sự bình an và giác ngộ ."
12510,nghe lần đầu thấy dở vãi cả lúa nhma lướt tiktok nghe hoài cũng hay = ) )
12511,Chơi thì ít tạo dáng thì nhiều :face_with_tears_of_joy:
12512,Sơn Tùng phải gọi bằng điện thoại
12514,Thế đéo nào lại nghe cuốn nhỉ :grinning_face_with_sweat:
12515,không tệ lắm . Chỉ nghe nhạc thôi thì hay hơn :red_heart:
12516,Cứ chê dở nhưng tôi thắc mắc là s vẫn triệu lượt xem ạ : ) )
12517,Nói thật nhạc lời rất tệ cảnh quay cứ chuyển qua lại mẹ coi mà cứ hài hài thế nào
12518,"Có ai thấy bài nay hay toẹt vời , ca từ xuất sắc và có hồn , anh Quý dễ thương không ạ ? Mình không :slightly_smiling_face:"
12519,Anh hẹn em bí cơ bon = )
12520,Bài này hay mờ nghe cuốn : ) :penguin:
12521,Nhạc dở tệ
12522,Thấy tốn tiền mua mạng vãi
12523,Ui bài sang vậy ( sang chấn tâm lý ) :face_with_open_mouth: ‍ :dashing_away:
12524,cái MV thiếu kinh phí hay gì
12525,nếu mỹ thay vì thả 2 quả bom xuống Nhật Bản mà lại phát hành bài hát này ở Nhật Bản thì giờ sẽ không còn anime để xem nữa
12526,Bài đéo gì vậy trời :face_with_tears_of_joy: vậy cũng dám đăng
12527,Nên đem nó thành 1 hình thức tra tấn của Nhà tù Black Dolphin :loudly_crying_face:
12528,"Mò từ facebook qua mà nghe xg không hiểu gì cả , ai giải thích cho nghe đk * người bị điếc đã chia sẻ *"
12529,Quá đẹp zai :party_popper: :red_heart:
12530,nể thật đấy con mic nhà tôi đg bị táo bón mà nó nghe bài này xong phọt ra hết luôn cảm ơn tác giả nhé
12531,tai mình đã bị rỉ nước sau khi nghe bài này :upside-down_face:
12532,bài gì toàn nghe được mỗi chữ pickleball :pensive_face:
12533,ủa bài vậy mà cũng vô được top trending hả = ) tận top 26
12534,gay à ?
12535,Cảm ơn anh vì anh đã chữa giúp em bệnh táo bón suốt 10 năm nay từ lúc nghe nhạc của ah thì những thứ tạp chất ô uế nhất đã tuôn ra lấp kính đường dẫn chất thải của 1 khu phố em thực sự cảm ơn ah :red_heart:
12536,Thế cũng ra được bài hát
12537,Từ lúc nghe bài này thì tôi thấy thick of it hay hơn hẳn
12539,Red bull đã gọi cho tôi khi nghe bài này đến lần thứ 2
12540,Thick of it việt nam :skull:
12541,"nhờ anh mà thk bạn bị mù của em bỗng nhìn được để tắt cái nhạc thảm họa này , cảm ơn anh < 3"
12542,tôi sẽ đặt bài này làm báo thức để tôi thức dậy trước và tắt nó đi
12543,Nghe nhạc :cross_mark: Đọc cmt :check_mark_button:
12544,"Nghe không hay , nghe thú zị :face_with_tears_of_joy:"
12545,Gay song
12546,thảm họa âm nhạc à
12547,Nhạc tệ nhất năm 2024 năm nào cũng có bài tệ :face_with_tears_of_joy:
12548,Dừng lại đi các bạn cmt quá mức pickleball rồi đấy :raised_hand: :light_skin_tone:
12549,Thua ra cai bai hat nhu db
12550,thick of it còn hay hơn
12551,Phương pháp tra tấn mới cho tử tù :loudly_crying_face:
12552,"Thật tình thì cái studio sản xuất cái MV này cũng dũng cảm lắm , còn dũng cảm hơn hết thảy là tác giả"
12553,2027 ai vẫn nghe nhỉ
12554,tôi lúc đầu nghĩ nghe nhạc Nhạc J97 vẫn hay hơn bài này :face_with_tears_of_joy:
12555,Đòn kết liễu cho pickleball
12556,Cux hay ạ nhưng không hay bằng việc tại sao lại chọn chủ đề và concep ntn :grinning_face_with_sweat:
12557,Không có phụ đề của youtube thì tôi chịu nghe như nhạc thai lang
12558,Nếu bài hát này được bật trên những chiếc trực thăng năm 1975 thì có lẽ bố Que đã tuyệt chủng
12560,thick of it bản tiếng việt
12561,ê nhm cũng top trending lận kìa - ) ) hơn 1tr viêw nữa :clown_face:
12562,Nếu bài hát này được phát hành ở Nga thì người dân ở đây sẽ quên đi thảm hoạ nhà máy hạt nhân Chernobyl vì quy mô huỷ diệt của bài hát này còn thảm khốc hơn nhiều lần
12563,Cụ tổ tôi nghe bài này cũng bật nắp quan tài lên mà sống dậy
12564,= ) cười
12565,Nếu bài hát này sinh ra vào thời kì chiến tranh thì nó có thể là vũ khí tra tấn khủng khiếp nhất
12566,Làn đầu nghe nhạc Việt bật phụ đề Việt
12567,Ae cày view ác :face_with_tears_of_joy:
12568,T7 này em rảnh . Em hẹn anh pickleball :red_heart: :face_blowing_a_kiss: :tennis:
12569,cảm ơn vì bài hát mong đừng ra bài như này nữa
12570,Cảm ơn anh rất nhiều vì nhạc đã giúp em hết liệt duong :face_with_tears_of_joy:
12571,Bấy lâu nay mình đã quá khắc khe với nhạc của J97 :face_with_tears_of_joy:
12572,KSI cũng phải gọi bằng điện thoại :speaking_head: :speaking_head: :speaking_head: :skull_and_crossbones: :skull_and_crossbones: :skull:
12573,"Nhạc nghe hay đó , bỏ giọng ra là hay :smiling_face_with_smiling_eyes:"
12574,tôi search kí hiệu rỗng trên youtube thì nó ra cái bài này :clown_face:
12575,Thấy cũng cũng mà sao mọi người chê dữ vậy
12576,"hôm nay em có 1 ngày thật tệ , nhưng sau khi nghe thấy bài hát của anh Quí thì em không còn cảm thấy ngày hôm nay tệ nữa :red_heart: vì bài hát này tệ hơn , cảm ơn anh Quí :red_heart:"
12577,Hồi đó Mỹ thả anh Quí và radio phát bài này xuống là chìm luôn Nhật rồi :smiling_face:
12578,khóa mõm đi
12579,máy trợ thính của tôi đã phát nổ rồi
12580,"sau khi nghe bài này , mình đã hết bị táo bón , cảm ơn tác giả"
12581,"tôi ra vào chỉ để đọc cmt và vô tình tăng view , anh Quý thao túng tâm lý thật đỉnh :party_popper:"
12582,"Sau bài hát này , nhà nước sẽ không cần tiền mua thuốc độc cho các tử tù nữa , chỉ cần bật bài này liên tục 24 tiếng thì đến cái điện thoại còn muốn nổ huống chi con người"
12583,Tôi tối cổ quá . Nó ymang nghĩa gì mà toii thấy mọi người sợ vãi cả lúa ra . Giống thick of it của ksi
12584,quí thật hãm lol . quí không nên để ý cmt tiêu cực vì bài này đã tiêu cực hãm lắm rồi
12585,Nhạc như lảnh địa của gojo Nghe xog cht não luôn :face_with_tears_of_joy:
12586,Nghe xong tự nhiên thấy Thiên Lý ơi cũng không đến nỗi nào = ) )
12587,vô phúc khi tin bạn tôi nói bài này hay : ? ) :smiling_face_with_tear:
12588,ACN đã đưa tôi đến đây
12589,Bài hát này thật sự rất hay nếu bạn làm đúng cách : 1 . Đeo tai nghe vào 2 . Tăng max âm lượng 3 . Tăng tốc độ x2 4 . Dừng video 5 . Mở Thick of it của KSI Enjoy : )
12590,nghe bình thường mà
12591,chắc anh Quí không ngờ là bài hát lại nổi thế = ) ê comment kiểu qq gì ấy : )
12592,Tôi thấy hay mà quả animation đúng hay luôn còn bài này thì khỏi phải nói rồi nhỉ
12593,đã nhé
12594,"tôi tưởng đâu Thick of it đã tệ , nhưng cái này thật sự là thảm họa . * LÀM ƠN ĐẤY , XÓA CÁI NÀY ĐI , anh CÓ TÀI NĂNG ĐẤY , GIẤU CMN NÓ ĐI :speaking_head: :fire: *"
12595,Nghe điếc lỗ tay muốn khùng
12596,tôi mò từ leu báo
12597,visualizer cái pickleball mày á thirst trap thì có :loudly_crying_face:
12598,rick roll việt nam 2024
12599,nếu bài hát này được ra mắt vào ngày mai thì tôi nhất quyết sẽ không sống nữa
12600,Bài này có gì hot mà nổi thế
12601,dm vậy mà 1tr vi ew rồi kìa = ) ngầu qs .
12602,"Beat bài này hay mà mọi người , lời bài hát hơi tục thôi , ai chỉnh lời với remix lại thì chắc sẽ nổi theo cách tích cực = )"
12603,Ngoài cái mặt ra hát dở quá + ) ) :face_with_tears_of_joy:
12604,"Nghe mà "" Đao "" lòng ."
12605,Dm thằng nguu ra bài hát làm xấu game vãi cả lúa dm thằng óc chóo :face_with_tears_of_joy: :face_with_tears_of_joy:
12606,wow tôi chưa bao giờ nghe một bài hát hay đến vậy
12613,Chúng ta nợ Ksi một lời xin lỗi
12614,trình bài này ngang Thick of it của KSI
12615,Xiêm thích rồi nhé
12616,chúng ta đã quá khắt khe với nhạc của anh J97
12618,Ôg này đã giúp bạn tôi khỏi bị điếc :skull:
12619,Sau khi tôi nghe thì hôm sau tôi đã bị ốm cảm ơn tác giả :smiling_face_with_smiling_eyes:
12620,"anh ơi thật ra lúc đầu nghe em không thích bài này cho lắm nhưng nghe mấy lần tự nhiên em thấy hay , sáng nay em còn ngân nga nữa"
12621,nhạc hay mà phần nhìn giống say gex ý :grinning_face_with_sweat:
12622,nghe như con chó ý : )
12623,"Thằng lìn này này không hát mà quay cảnh không nhĩ ,"
12624,Nghe xong bài này chắc tôi xỉu vì nó quá tệ hơn tôi nghĩ
12625,Anh hẹn em bí cờ bon Ta vờn nhau bí cờ bòn :face_with_tears_of_joy:
12628,càng nghe nhiều càng thấy hay
12629,tôi từng nghĩ làm mẹ buồn là việc đáng thất vọng nhất trên đời cho tới khi tôi nghe bài này nó còn thất vọng hơn cả việc đó
12630,Nghe bài xong thấy nhạc jack 5 củ còn hay chán
12631,Chắc mỗi tôi nghe bài này hay
12632,"Có thể bạn cũng mắc phải giống tôi , chê thì chê chứ "" anh hẹn em pickleball . "" đã kẹt trong đầu tôi lúc nào không hay :crying_face:"
12633,Làm ơn xoá nó khỏi thế giới đi :crying_face:
12634,Nếu nói nó ngang cứt thì nó pk hơn cứt tôi nói tht !
12635,"hidden talent , keep it hidden"
12636,Tắt tiếng nhìn cũng giống say gex mà
12637,"Nghe bài này cảm động quá , tôi đã khóc và ngất đi vài lần"
12638,"Bạn em bị điếc sau khi xem MV thì nó mù mẹ luôn , bác sĩ nói nó xem cái gì đó lâu quá bị tổn thương giác mạc gây thoái hoá điểm mù dẫn đến mù vĩnh viễn ."
12639,"cảm ơn anh rất nhiều , ngày mai thằng bạn em có hẹn em đi chơi thử píc cơ bôn mà may em kịp xem MV của anh nên em đã quyết định không đi nữa , quyết định này giúp em tiết kiệm được số tiền khá lớn , em cảm ơn rất nhiều"
12640,Mô phật
12641,Thà nghe 2 quảng cáo dài 2p còn hơn nghe cái này = )
12642,Thick of It phiên bản tiếng Việt à .
12643,Cảm ơn anh Quí vì đã tạo ra một bài hát có thể tra tấn tâm lí và hiếp dâm lỗ tai cực mạnh để em tra tấn ny em mỗi khi ik chs pickerball giờ ny em từ khi nghe xok thì không còn chs nx cảm ơn anh :smiling_face_with_hearts: :smiling_face_with_hearts:
12644,"Anh hẹn em Pickleball Ta vờn nhau Pickleball Tay vợt bên dưới hông Anh đập banh , đập banh Đến em mạnh vào Ta chỉ chơi Pickleball Không nên vượt mức Pickleball Đưa vợt anh tiếp banh High and low Từ thấp đến trên cao Ta chỉ gặp chơi Pickleball . Verse : Chơi bao nhiêu nhưng em nhắc anh Em không dễ dàng Không nên tia em , tia trái banh Thua game , rời em Không được lơ là đưa chân quá gần Hãy kiềm chế nào ! Thua mà 5 lần , em sẽ nằm trên anh ( Ý anh là điểm mà ! ) Pre Chorus : Thế nào là hơn thua Thế nào là mình ganh đua Em focus vào tâm trí anh chưa ? Vừa thắng liền tham lam Lùi chút chút lùi về sau không chạm Lùi xuống sâu vào … . . Anh hẹn em Pickleball Ta vờn nhau Pickleball Tay vợt bên dưới hông Anh đập banh , đập banh Đến em mạnh vào Ta chỉ chơi Pickleball Không nên vượt mức Pickleball Đưa vợt anh tiếp banh High and low Từ thấp đến trên cao Ta chỉ gặp chơi Pickleball . Verse : Chơi bao nhiêu nhưng em nhắc anh Em không dễ dàng Không nên tia em , tia trái banh Thua game , rời em Không được lơ là đưa chân quá gần Hãy kiềm chế nào ! Thua mà 5 lần , em sẽ nằm trên anh ( Ý anh là điểm mà ! ) Pre Chorus : Thế nào là hơn thua Thế nào là mình ganh đua Em focus vào tâm trí anh chưa ? Vừa thắng liền tham lam Lùi chút chút lùi về sau không chạm Lùi xuống sâu vào … . . Anh hẹn em Pickleball Ta vờn nhau Pickleball Tay vợt bên dưới hông Anh đập banh , đập banh Đến em mạnh vào Ta chỉ chơi Pickleball Không nên vượt mức Pickleball Đưa vợt anh tiếp banh High and low Từ thấp đến trên cao Ta chỉ gặp chơi Pickleball . Verse : Chơi bao nhiêu nhưng em nhắc anh Em không dễ dàng Không nên tia em , tia trái banh Thua game , rời em Không được lơ là đưa chân quá gần Hãy kiềm chế nào ! Thua mà 5 lần , em sẽ nằm trên anh ( Ý anh là điểm mà ! ) Pre Chorus : Thế nào là hơn thua Thế nào là mình ganh đua Em focus vào tâm trí anh chưa ? Vừa thắng liền tham lam Lùi chút chút lùi về sau không chạm Lùi xuống sâu vào … . . Anh hẹn em Pickleball Ta vờn nhau Pickleball Tay vợt bên dưới hông Anh đập banh , đập banh Đến em mạnh vào Ta chỉ chơi Pickleball Không nên vượt mức Pickleball Đưa vợt anh tiếp banh High and low Từ thấp đến trên cao Ta chỉ gặp chơi Pickleball . Verse : Chơi bao nhiêu nhưng em nhắc anh Em không dễ dàng Không nên tia em , tia trái banh Thua game , rời em Không được lơ là đưa chân quá gần Hãy kiềm chế nào ! Thua mà 5 lần , em sẽ nằm trên anh ( Ý anh là điểm mà ! ) Pre Chorus : Thế nào là hơn thua Thế nào là mình ganh đua Em focus vào tâm trí anh chưa ? Vừa thắng liền tham lam Lùi chút chút lùi về sau không chạm Lùi xuống sâu vào … . . Anh hẹn em Pickleball Ta vờn nhau Pickleball Tay vợt bên dưới hông Anh đập banh , đập banh Đến em mạnh vào Ta chỉ chơi Pickleball Không nên vượt mức Pickleball Đưa vợt anh tiếp banh High and low Từ thấp đến trên cao Ta chỉ gặp chơi Pickleball . Verse : Chơi bao nhiêu nhưng em nhắc anh Em không dễ dàng Không nên tia em , tia trái banh Thua game , rời em Không được lơ là đưa chân quá gần Hãy kiềm chế nào ! Thua mà 5 lần , em sẽ nằm trên anh ( Ý anh là điểm mà ! ) Pre Chorus : Thế nào là hơn thua Thế nào là mình ganh đua Em focus vào tâm trí anh chưa ? Vừa thắng liền tham lam Lùi chút chút lùi về sau không chạm Lùi xuống sâu vào … . ."
12645,Tra tấn lỗ tai
12646,Thua cả thick of it
12647,"Nghe riết tôi thấy nó hơi hay rồi bây ơi , CỨu :crying_face:"
12648,Top 26 rồi mọi người ơi :smiling_face_with_smiling_eyes: :smiling_face_with_smiling_eyes:
12649,"Cảm ơn bạn nhé hồi trước con em mình bị tai nạn nên bị tai biến hôm nay tôi bật bài nhạc này lên nó liền bật nắp quan tài dạy để đập bỏ cái tivi , bạn đã cứu em mình khỏi bị tai biếng cảm ơn bạn rất nhiều ."
12650,Kẻ thù của thiên lý :skull_and_crossbones:
12651,"Cảm ơn bạn từ nhỏ tôi bị trêu chọc vì bị điếc , sau khi những đứa trêu tôi nghe bài này thì chúng đã hối hận và ganh tị với tôi"
12652,Anh ơi em yêu anh
12653,không phải đỗ phú quý sáng tác đâu mọi người tuno stac mà
12654,nghe xong không đọng lại được chữ nào :grinning_face_with_big_eyes:
12655,"Thằng bè chí cốt kêu tôi kiếm bài để hát đám cưới , xong nó gởi tôi nghe bài này : ) )"
12657,hay den noi ma toi da die
12658,"mà nói thật thì nghe cũng vui tai mà ae , giống mấy bài của Anh Phan , chúc anh Quí ra thêm bài pickleball 2 , 3 và 4 để người nghe có thể vứt não đi và tận hưởng âm nhạc thuần túy ."
12659,""" Anh hẹn em pickleball "" :speaking_head: :fire:"
12660,ANH ĐỖ PHÚ QUÝ ƠI CÁI VỢT PICKLEBALL CỦA EM ĐÂU RỒI Ạ ? ?
12662,Đây mới là âm nhạc cho người Điếc nghe
12663,Nasa đã xem và đánh giá nó kinh khủng hơn cả bom nguyên tử
12664,Chiếc bài hát đầu độc đôi tai nhất
12665,"mày hát cái Iồn gì vậy . không 1 ý nghĩa , nhạc lãng hả"
12666,tệ hơn khủng long bị tuyệt chủng
12667,Lòn mẹ chúng mày cứ píc cà bòn mãi làm tôi phải lên youtube xem ai ngờ mất ngủ 1 tuần giời nhắm mắt vào là nghe píc cà bon
12668,"Nghe xong bài này , tôi chỉ muốn cào xước tai mình để xóa bỏ âm thanh đó ra khỏi đầu . Đỗ Phú Quí à , anh làm cái quái gì thế ? Cái này không phải bài hát , mà là một cuộc tra tấn thần kinh . Giai điệu giống như một đám bạn nhậu vừa say xỉn vừa hò hét trong karaoke dởm , rồi tự dưng cố gắng thành ca sĩ nhưng lại làm hỏng cả cái loa . Giọng hát của anh nghe như bị kẹt ở giữa cổ họng với một đống giẻ rách . Câu lên tông thì như anh đang bị giật điện , còn xuống tông thì nghe như anh bị kẹt trong cái hang của chính mình mà không biết đường ra . Nghe mà tôi chỉ muốn tát vào mặt anh một phát cho tỉnh lại . MV ? Đúng là một bãi rác thải thị giác . Cái trang phục nhìn như mấy ông bà già mặc đồ tập thể dục nhưng lại bị mất trí nhớ . Còn mấy động tác vũ đạo , thôi đừng nói nữa , nhìn như mấy người đang tự vả mặt mình để cố tỉnh dậy sau khi uống nhầm thuốc ngủ . Tóm lại , bài hát này không chỉ xúc phạm tai người nghe , mà còn đày đọa tâm hồn người ta vào cõi u mê không lối thoát . Nếu có ai bảo bạn nghe "" Pickleball "" , đừng nghe ! Đây là âm nhạc của sự chết chóc !"
12669,"Cảm ơn anh đpq , thằng bạn của em bị liệt 5 năm nhưng đến lúc em bật bài hát này thì nó lại có thể đứng dậy để tắt bài hát này đi . Chân thành cảm ơn anh đpq vì đã giúp bạn em hết liệt :loudly_crying_face: :folded_hands:"
12670,"bài này hát hơi khó nghe , nếu có được vietsub đàng hoàng thì sẽ không đến nỗi"
12671,Cảm ơn anh đã ra bài hát này . Nhờ có anh mà thằng bạn em bị liệt dương sau khi nghe bài hát của anh và bằng 1 cách thần kì nào đó con cu của nó có thể ngổng lên được và cầm chiếc điện thoại đang phát nhạc của anh ném xuống đất . Sau đó nó đã tự bò ra khỏi người thằng bạn em và đéo * tới tấp vào chiếc điện thoại ấy :smiling_face_with_halo:
12672,nhạc như lol
12673,Đọc cmt con hay hơn nhạc nx :sleeping_face:
12674,this song so beautiful my neighbor called the cops so that they could listen to this with me
12675,tôi là 1 lesbian và gia đinh tôi đã phản đối rất gay gắt điều đó . họ bảo đấy là điều tồi tệ nhất cho đến khi tôi bật pickleball của anh Quí lên . bây giờ tôi có thể thoải mái yêu đương với bất kì cô gái nào tôi muốn . cảm ơn anh quí rất nhiều :red_heart: ‍ :fire: :red_heart: ‍ :fire:
12676,BRO LÀ TÀI NĂNG ẨN :double_exclamation_mark: :double_exclamation_mark: :speaking_head: :speaking_head: :fire: GIỮ CHO NÓ ẨN ĐI :fire:
12677,"Mv không có gì hay , nhạc cũng không quá ấn tượng"
12679,Gay vãi cả lúa
12680,Giọng yếu vậy
12681,em rất respect anh vì anh dám ra cả mv và phát hành bài này ạ :red_heart: :red_heart:
12682,Nghe nhiều thấy cũng hay :clown_face:
12683,lúc chưa nghe thì tôi tưởng thick of it là thảm hoạ tệ nhất th11 nhưng khi nghe bài pickleball tôi nhận ra 1 điều là đây mới là thảm hoạ trong âm nhạc :skull_and_crossbones: :rock:
12684,tôi ước mình không co tai
12685,"Ê nhưng mà ông không thấy ngại luôn á hả , bị trêu ở tất cả nền tảng , không thấy nhục với bạn bè luôn hả ?"
12686,chọc điếc tai tôi đi :face_vomiting: :sneezing_face:
12687,"Đối thủ xứng tầm với "" Thick Of It """
12688,"Mọi người sao ấy , bài này hay mà . Tại mọi người không biết cách nghe thôi . Để mình chỉ cho mọi người nhé : Bật âm lượng nhỏ lại còn không %"
12689,nhạc tẩm đá à cuốn thế
