,processed_text
9130,Thảm họa âm nhạc rác phẩm là những gì mà tác phẩm này thể hiện :frog:
9131,bài này hay làm gì mà các bạn căng vậy nhỉ
9132,Đm nghe nhiều quá tự nhiên thấy cuốn TF ! ! Chắc tai teo nó bị vấn đề rồi :melting_face: ! ! “ Tôi cần giúp đỡ “ :person_facepalming:
9133,Hỏi tí có ai nghe thấy cũng bth không = ) )
9134,thật là thương cho hai cái lỗ tai của tôi
9135,"tôi nghe bài này vào lúc 4h20 sáng . Khi có 1 dịp đi nét cùng người em của mình thì vô tình tôi đã nghe được ca khúc này . Giai điệu thật tuyệt , âm nhạc làm say đắm lòng người ."
9136,"Cảm ơn bài hát của anh , em đang cảm thấy cuộc sống tồi tệ và mất hết lý trí nhưng sau khi nghe bài này , em thấy cuộc sống mình đáng sống hơn và phải cố gắng hơn , vì bài nhạc này nó còn tồi tệ hơn cả cuộc sống của em :smiling_face_with_hearts: :heart_hands:"
9137,Bạn em bị lãng tai nó nghe bài này xong quay ra chửi mình là bài dở như - cặc - này mà cũng nghe cảm ơn anh quý
9138,"Thật sự mình rất là cảm động , tại vì mình bị khuyết tật , và nhờ bài này mình mới đứng dậy được . rất cảm ơn"
9139,"nổi tiếng nhờ 1 ca khúc như thế này cùng với tất cả sự coi thường từ mọi người , tự hào không ?"
9140,"Một tội phạm sau khi bị tra tấn bằng bài này thì đã khai cả bố lẫn mẹ ô trùm , OÁCH sà lách vô cùng"
9141,Nhạc meme :face_with_tears_of_joy:
9142,"toàn một lũ adua ăn không ngồi rồi ở nhà thấy người ta làm rồi chê bai này nọ , cá nhân tôi thấy lời bài hát mặc dù có mấy câu từ không phù hợp nhưng phần âm nhạc thì rất đâù tư nên có góp ý thì cũng đừng đu theo bọn looser như vậy"
9143,Bài hát này của anh cho em động lực chs môn thể thao này rất nhiều anh hãy tiếp tục trên con đường âm nhạc anh nhé
9144,"Tôi bật bài này chưa quá 30s thì bỗng dưng ipad sập cmn nguồn dù còn 40 % , sau đó nó mở lại bình thường Có lẽ thằng hacker đang chiếm máy tôi cũng sợ nó đến nỗi dùng biện pháp mạnh để tắt cái bài thảm hoạ này"
9145,"Nhạc hay quá , 1 , 2 giờ đêm vẫn đầy người comment"
9146,Qua tuyet voi nghe xong tôi đã hết bực bội trong người chuyển sang cringe
9147,Thick of it nó cỏn đở hơn bài này : )
9148,ngeh mắc teg fhee
9149,Nhạc như đấm vào tai người nghe
9150,Dở nhé
9151,cảm ơn anh vì mấy thắng trươc con bạn em nó điếc bây giờ bật nhạc anh lên nó nghe rõ hơn cả chó anh ạ : ) còn em thì điếc luôn ạ
9152,Chill guy
9153,Nhạc với ông diễn cứ như gay sex ý
9154,Sau khi bài này ra đời tôi thấy Jack cũng tốt … :thinking_face: :thinking_face:
9155,Ông mình điếc nhg sau khi bật nhạc này lên ông đã hết điếc bật dậy tắt nhạc luôn
9156,Nghe hay mà mọi người
9157,Nhạc này hay quá khiến tôi đêm nay mất con me no ngủ
9158,tự hỏi là nếu người khiếm thính nghe được thì phản ứng của họ sẽ như nào :grinning_face_with_sweat:
9159,Đang ngồi ỉa nghe bài này rồi phọt ra hết
9160,thấy mình thật kiên nhẫn khi nghe hết : ) )
9161,"Anh hẹn em Pickleball :ping_pong: :glowing_star: Ta vờn nhau Pickleball :party_popper: :sparkling_heart: Tay vợt bên dưới hông :person_playing_handball: ‍ :male_sign: :running_shoe: Anh đập banh , đập banh :collision: :person_running: ‍ :male_sign: Đến em mạnh vào :flexed_biceps: :fire: Ta chỉ chơi Pickleball :balloon: :sparkles: Không nên vượt mức Pickleball :prohibited: :bullseye: Đưa vợt anh tiếp banh :chopsticks: :tennis: High and low :chart_increasing: :chart_decreasing: Từ thấp đến trên cao :sunrise: :rainbow: Ta chỉ gặp chơi Pickleball . :confetti_ball: :trophy:"
9162,cạn lời luôn
9163,Anh ơi em phọt cuk rồi
9164,cái phần tốt nhất của bài hát này chắc là nút dừng video đó .
9165,Dm nghe xog chắc tôi điếc luôn quá :grinning_face_with_sweat:
9166,"Công bằng thì nói bài này không xuất sắc hoặc gọi là hay , chỉn chu nhưng đến mức thảm hoạ thì hơi quá đáng"
9167,Nghiện mất rồi
9168,"tôi bật bài hát này lên và anh bạn điếc của tôi lần đầu cảm thấy may mắn vì mình bị điếc , cảm ơn anh đã giúp những người không may mắn lạc quan hơn :smiling_face_with_hearts:"
9169,Hay quá anh ơi . Mãi ủng hộ anh
9170,Mình mong anh Quí hợp tác với KSI để cùng nhau sáng tạo ra nhiều MV hay hơn thế này nữa :kissing_face_with_closed_eyes: :penguin:
9171,"Nhạc thì dở , lặp lại liên tục . Lời ca nhảm . Mv thì xàm nhạt khỏi nói = ) )"
9172,U là trời . Tóp 23 trending luôn . Vượt mức pickle ball rồi đó
9173,Anh này mà thay đổi phong cách thì vài tháng nữa là tết rồi
9174,Đi đánh picklebal xong đi bảo dưỡng xe hoàn toàn FREE ở IRC Tire Motorbike Care Festival thì còn gì bằng nữa nhỉ :face_with_tears_of_joy: :face_with_tears_of_joy: :party_popper:
9175,Ê bộ ổng hog bt ổng xấu với hát dỡ hả
9176,anh này hợp với làm dân tổ hơn là pickleball
9177,Mê
9178,"Nhạc hay quá :party_popper: . Em nghe mọi lúc mọi nơi , mong anh hãy tiếp tục ra những sản phẩm như vậy để phục vụ khán giả . Từ nay sẽ chuyển thành fan cứng của anh Quý"
9179,Khi bạn tôi là một đứa thức vật tôi bận cho nó nghe nó đã tữ dung dây và tư tắt bài nhạc em cảm ơn là một thảm họa
9180,"anh đừng lo , mặc dù bài hát này bị nhiều người chê nhưng những người điếc sẽ rất vui đó :smiling_face_with_smiling_eyes:"
9181,Tự nhiên thấy bài cắm sừng cũng hay
9182,"ae biết có thêm ngày thảm họa âm nhạc 2024 nữa không , là ngày 15 / 11 ! ( ngày phát hành pickelball )"
9183,Anh trai say hi
9184,"thề luôn ấy , nhạc anh đéo khác gì thick of it ấy , cụ thể là dở như nhau . Nghe nhạc anh xong chấn động luôn , chấn động tâm lí"
9185,í là nghe cuốn ạ . Mọi người phải công nhận cái này nhé “ Anh hẹn em pickleball . Ta vờn nhau pickleball ” nó cứ trong đầu mấy bữa nay đó mọi người ơi : ) Bánh cuốn luôn á
9186,tôi thà nghe sbikidi dop dop yes yes nó còn hay hơn cái gắp 100 lần
9187,"xuất xắc quá anh , em bật trên lớp tiếng anh của em và họ bắt đầu kì thị"
9188,anh tôi bị thực vật sau khi nghe bài này
9189,"Cảm ơn bài hát của anh ạ , nhờ vậy mà em trước đó trầm tính mà giờ trầm cảm moe rồi anh ơi !"
9190,"vào xem vì nhạc là phụ , đọc comment là chính"
9191,Những bài lọt vào top1 những hình thức tra tấn và ải chỉa nhất :face_with_tears_of_joy: :grinning_face_with_sweat:
9192,"nhờ có bài hát này mà phòng khám phụ sản của tôi rất phát đạt , khách nghe phát phọt con ra luôn"
9193,"biết vậy coi tik tok tiếp , mình bị ép qua đây ạ : < Mà thật sự là vượt mức pickelball rồi đó anh ơi , bởi vậy cđm tệ lắm anh ạ , đỡ tệ hơn píc cà bôn là được rồi . nhé anh nhé ! !"
9194,"Vâng , nếu bài này vào phim doremon thì cs thể sánh ngang với giọng chaien : /"
9195,thế cũng làm được : ) )
9196,"Anh hẹn em Ligmaball :ping_pong: :glowing_star: Ta edge nhau Ligmaball :party_popper: :sparkling_heart: Tay vợt bên dưới gyatt :person_playing_handball: ‍ :male_sign: :running_shoe: Anh mewing , mewing :collision: :person_running: ‍ :male_sign: Yeet em mạnh vào :flexed_biceps: :fire: Ta chỉ chơi Ligmaball :balloon: :sparkles: Không nên vượt mức Ligmaball :prohibited: :bullseye: Đưa vợt anh rizz banh :chopsticks: :tennis: Hawk and tuah :chart_increasing: :chart_decreasing: Từ fanum đến tax :sunrise: :rainbow: Ta chỉ gặp chơi Ligmaball . :confetti_ball: :trophy:"
9197,"Cảm ơn Quí ! Vào 2 ngày trước tôi vô tình lướt thấy bài này thì thấy rất catchy . Nhưng ngày hôm sau tôi bị bắt cóc và bị ép "" Quí không cần bù :winking_face_with_tongue: "" . NHƯNG trước khi bú thì tôi có yêu cầu xin được bú trên nền nhạc này vì tôi rất thích . Sau khi mở thì tên biến thái đó đã phải sách dái chạy thật nhanh mà đến bây giờ tôi vẫn không thấy hắn đâu . Chân thành cảm ơn Quí !"
9198,vg ạ cảm ơn tác phẩm và tác giả đã khiến lớp tôi thành bệnh viện tâm thần ạ . Cảm ơn !
9199,Tôi khi nghe xong đã bị ung thư tai
9200,Đến bao giờ thì thế giới sẽ có thảm họa tồi tệ hơn cả bài hát này
9201,bài này không gọi là được phát hành mà nó trốn ra khỏi kho : ) )
9202,"Sau khi nghe bài hát này , tôi thực sự đã khóc . Tay tôi cụt bẩm sinh , vậy nên tôi bị mọi người bắt nạt khiến tôi thu mình khỏi xã hội . Một hôm tôi bị đám bắt nạt nhốt vào nhà vệ sinh và tôi vô tình nghe thấy bài hát này trên YouTube , tôi thực sự đã khóc khi nhìn thấy cánh tay của mình mọc lại để tắt nhạc đi . Sau hôm đó tôi đã cởi mở hơn và tự tin hơn khi có thể đem thứ này đi trả thù đám bắt nạt . Thực sự biết ơn ĐPQ :red_heart:"
9203,bài hát rất nhuận tràng thằng bạn tôi táo bón kinh niên không ẻ được đã 10 năm nhưng khi nghe bài hát này thì nó đã giúp ngành phân bón giảm 1 khoản chi phí khổng lồ để sản xuất cít bón rau mà khoản chi phí ấy phải bằng GDP của cả 1 quốc gia . Xin cảm ơn tác giả đối tác đáng tin cậy của berberin
9204,Bài hát hay quá nhé anh kệ mẹ tụi nó nói gì đi cứ tiếp tực ra sản phẩm âm nhạc nhé anh
9205,Rồi cái ý nghĩa bài này là gì ? :face_with_tears_of_joy:
9206,Lý do chị em thích choi pickleball đây sao
9207,Bài như này mà cũng ra Thảm họa âm nhạc thiệt Ô nhiễm tai nghe Nổi da gà thiệc
9208,Sau khi nghe bài này thì tôi tự nhiên thấy bài thick of it của KSI còn tốt chán
9209,Thảm hoạ âm nhạc ; )
9210,đang yêu đời mà nghe trúng bài này . trầm cảm mẹ luôn :crying_face:
9211,24 nghìn con bot chỉ biết bấm một cái nút
9212,Khi nào khó i * thì bật bài này i * dễ hơn thật ( đã áp dụng và cực hiệu quả )
9213,nghe xong đau đẻ luôn
9214,Chả nghe được lời . Nền nhạc thì chói tai . Test thính giác à
9215,tôi đang nghe vì vậy
9216,VUT ME NO DI
9217,""" Thick Of It "" bản Việt Nam :skull:"
9218,nghe cỡ vài bài lag nghiện đó
9219,"Nếu bài này phát hành lúc việt nam còn là thuộc địa của pháp thì nó sẽ là hình thức tra tấn ác nhất nhà tù phú quốc , còn thực tế thù ông tôi liệt toàn thân 70 năm nay nghe bài này 3 giây ông tôi bật dậy tắt tv luôn , cảm ơn bài hát vì đã giúp ông tôi hết liệt :face_with_tears_of_joy:"
9220,Anh có tài năng đấy anh Giấu Mẹ Nó Đi anh ơi
9221,Oh no ngũ quan tôi đã bị hủy hoại sau khi nghe bài này
9222,"Mỗi mình tôi nghe nghiện Bài ni hot , đâu như thằng soobin Hoàng Sơn"
9223,Đỗ Phú Quý à anh vừa tạo ra một siêu phẩm âm nhạc dành cho người điếc vào người chết
9224,Thảm hoạ âm nhạc píc cờ bôn
9225,Đang bị bạn bè bắt nát mở nhạc phú quý cân 5
9226,Nhạc hay nhưng lời :woozy_face:
9227,vài ngày nữa nếu tôi hư mẹ tôi chắc lấy bài này ra tra tân tôi mất
9228,hay mà mọi người ( ykr )
9229,:anxious_face_with_sweat: bị gì vậy trời ?
9230,Tôi tò mò nên vào nghe vừa nghe vừa đọc cmt nhưng tôi vẫn chưa hiểu mọi người đang nói về cái gì trong bài hát ai giải thích cho tôi được không :thinking_face:
9231,"Tôi là công nhân xây dựng tầng 19 của địa ngục , tôi sẽ đưa bài hát này vào hình thức tra tấn cho những ai bị hôi nách"
9232,ai cũng chê bài này nhma sao nó lọt vô top trending thế kia : )
9233,"đi ẻ bật bài này , hết táo bón"
9234,thảm hoạ âm nhạc 2024 = )
9235,Em điếc nghe thấy là ngất luôn
9236,"video như cc , làm yt rác , không làm được thì cút đi"
9237,Bằng 1 thế lực nào đó mình nghe được hết cả bài :face_with_tears_of_joy: :face_with_tears_of_joy: điếc ngang luô
9238,Ôi thật kinh khủng :face_with_tears_of_joy:
9239,"mé cái giai điệu , khó chịu vô cùng"
9240,đọc bình luận còn hay hơn bài hát nữa á
9241,"Beat hay vãi , tại cái lời phá cả bài hát - ) )"
9242,nhạc quá hay anh ơi ! em yêu anh
9243,"mé cái giai điệu , khó chịu vô cùng"
9244,bài hay vậy mà hùa nhau chê không hiểu sao luôn
9245,Trọng tài : :skull: Đối thủ : :skull:
9246,"Cảm ơn bạn , trước đây tôi đã có những ý định 44 lởn vởn trong đầu , sau khi nghe bài này , tôi giờ đã có một kế hoạch chi tiết để thực hiện"
9247,Nghiện lắm rồi đó bạn
9248,có mình tôi thấy hay vãi
9249,Bị đao à haha
9250,Nghe xong bị sốt luôn :face_with_thermometer:
9251,Thề luôn nghe xong thành vô tri luôn
9252,Thick Of It nhưng ở Việt Nam :face_with_tears_of_joy:
9253,tôi là người Việt mà đây là lần đầu tiên tôi nghe tiếng Việt mà tôi không hiểu gì p nhấn dịch viên :smiling_face_with_smiling_eyes: :smiling_face_with_smiling_eyes: :red_heart: :red_heart:
9254,Dit me thảm hoạ thật
9255,Pickleball đã cho người điếc một lý do để hạnh phúc
9256,xuất rồi
9257,Bài hát thảm họa nhất năm
9258,"Nhạc thảm hoạ quá , bị chế ra nhiều phiên bản nên viral hơn hẳn , không ngờ đên 24N like với 1 , 7tr seen luôn ấy . Cảm ơn anh ĐPQ nhiều ạ , nhờ bài anh mà em đi ỉa suông hẳn , bài tiết dễ hơn"
9259,Khi bạn hết ý tưởng mà phải ra nhạc kiểu :
9260,Ghê tởm
9261,Nể thằng hát thật sự
9262,nghe xong thang ban vao vien luon
9263,"Tôi thấy bài hát rất hay :red_heart: , nghỉ sáng tác đi là vừa :red_heart:"
9264,Bài rất là hay và tuyệt vời còn rất là ý nghĩa
9265,Cảm ơn bạn đã giúp tôi lãng phí 3 phút cuộc đời :red_heart:
9266,"Mò từ facebook qua đây , thắc mắc 24N lượt like kia là của những ai :disappointed_face:"
9267,tôi xin rút lại câu nói “ thick of it tệ vãi cả lúa ” vì có một nhà vô địch mới rồi
9268,không ngờ tôi có thể nghe hết bài này :nauseated_face:
9269,Nghe nhiều quá tôi bị ám ảnh nghe hoài không chán cứu tôi : ) )
9270,Người quay rất ổn nhưng bài hát thì không
9271,Cảm ơn tác giả đã giúp một người bị liệt giường đứng lên được để tắt bài nhạc
9272,chả hiểu ? bài này hay thế mà mọi người cứ chê là sao nhỉ ? hay tôi bị điếc thật rồi
9273,"Mong bạn đọc được comment này . Ai nói gì mặc kệ , hãy cứ kiên vững trên con đường âm nhạc của mình nhé . Tôi biết bạn từ ANH TRAI SAY HI và sẽ luôn ủng hộ bạn ."
9274,"Tôi đang hấp hối sau khi nghe Thick of It của KSI , và bài này đã giúp tôi đi nhanh hơn . Cảm ơn vì đã rút ngắn nỗi đau"
9275,Dth anh Quí em thích :smiling_cat_with_heart-eyes:
9276,Ghen tị với người điếc
9277,Bà Vanga đã tiên tri vào năm 2025 sẽ có thảm hoạ có lẽ nào . ? ? !
9278,"Chắc chắn là có âm mưu gì đó , chứ ca hát không thể nào xàm dậy được"
9279,ngầu ghê ( như L )
9280,nghe nhiều thấy hay vậy trời :smiling_face_with_hearts:
9281,tôi nghe xong mà sang trấn tâm lý :grinning_face_with_sweat: :grinning_face_with_sweat: zjtr
9282,cũng hay mà = ) )
9283,:face_with_tears_of_joy: sặc cục 100 ngày không kiệt quệ bằng nghe bài này
9284,Ông này bị loại khỏi atsh bằng thực lực rồi :face_with_tears_of_joy:
9285,nếu mỹ dùng bài này để cho người dân nhật nghe thì nó sẽ là thảm hoạ tồi tệ nhất lịch sử
9286,Nhạc này hay quá 1 người điếc chia sẻ cho mọi người
9287,vai ca l * người tôi hiểu tại sao mọi người nói pickleball là dành cho mấy đứa không binh thuong = )
9288,Nghe riết cũng hay
9289,Trời mẹ nghe mắc ỉa thiệt chứ
9290,Bạn tôi bị liệt nghe xong bật dậy tắt liền :exploding_head:
9291,bựa vãi cả lúa
9292,"Tôi nghĩ ai cũng thích bài hát này , chỉ có những người không bị điếc mới không xem thôi ."
9293,Thick Of It đã có đối thủ :grinning_face_with_sweat:
9294,"ối zồi bản nhạc này , gia điệu này , thật là : )"
9295,"tạm biệt anh , em die đây = ) )"
9296,báo cảnh sát vì bài này nó giờ . i . ế . p d . â . mày lỗ tai tôi
9297,Tính ra nghe bài này mà tôi ngại giùm ĐPQ luôn á . Ông nào dám sáng tác vậy
9298,"Bài này tệ vãi cả lúa , hết chỗ nói rác vãi cả lúa bích cờ buồi à lol :face_with_tears_of_joy:"
9299,tôi ghét bài hát này vãi cả loz . Đơn giản thôi vì tôi là cô nàng thư giãn
9300,tôi đố anh nghe bài này được 100 lần tôi cho 100 triệu tỷ
9301,Thằng bạn tôi nghe song bài này thì nó bị tâm thần nặng luôn :crying_face:
9302,nghe chưa đừng có vượt mức pickelball
9303,cạn lời :face_with_tears_of_joy: :face_with_tears_of_joy:
9304,Khi bạn cảm thấy mình có 1 ngày tồi tệ nhất thì hãy bật nhạc này vì nó nằm ngoài sức tồi tệ của bạn
9305,bạn rất giỏi âm nhạc giấu mẹ đi
9306,Gayy to :cold_face:
9307,bình luận buồn cười vãi
9308,không biết nói thế nào :crying_face:
9309,"điếc cũng thấy hay :party_popper: , good job"
9310,ý là tác giả không tự thấy nó dở hay sao mà vẫn đăng lên để bị đánh giá vậy :smiling_face_with_halo:
9311,"giai điệu bài này thì cũng hay đấy chứ , lời nhạc hơi cringe thoi ."
9312,nghe xong bạn với em đi về cõi trời tu tiên quy kiếp luôn rồi . Rất cảm ơn anh ạ = )
9313,tôi thấy bài này bình thường mà có gì mà chê bài hát tệ thế ?
9314,nhạc lz gì chán vậy
9315,"anh có tài năng tiềm ẩn gì thì , giấu mẹ luôn đi"
9316,Để rửa tai sau khi nghe bài hát này mời mọi người qua nghe bài Take it slow của nhóm nhạc TIOT để được thanh lọc tai ạ :red_heart: em để link ở dưới ạ :red_heart:
9317,Tôi là người điếc khi nghe xong bài này tôi có thể nghe được và đã tắt nó và đã chửi thề tại sao nó lại có trên thế giới
9318,Từ ngày tôi nghe được bài này 3 thằng bạn tôi ai cũng điếc
9319,tôi nghĩ bài này hay mà đừng chửi :grinning_face_with_sweat:
9320,Bài đứng vị trí thứ nht từ trước đến giờ tôi từng . chê
9321,"Why nhạt nhẽo : quay đi quay lại 1 cảnh , nghiêng người tạo dạng , edit hetcuu"
9322,cíu
9323,"anh ơi nhạc nghe như đấm vào lỗ tai í = ) , mong anh cải thiện lại lời ạ"
9324,Nghe bài này cảm thấy đây là rác của âm nhạc
9325,Wow lord Jesus 1 . 8 trieu view roi . . wow so fast
9326,"thằng bạn tôi hôm trc bị ốm nằm liệt giường , tôi đã bật bài này lên , nó liền đứng phắt dậy tắt nhắc đi , nhờ thế mà nó đi lại được bth . Cảm ơn tác giả ."
9327,anh quí à đừng để ý bl tiêu cực chi Tắt nhạc ik anh không bl nó trôi hết bây giờ = ) ) ( không hiểu s bài này viral )
9328,"Troi oi . team up chui nguoi ta , chui cho DAU DON VAO , CON CAI LOI NAO DEP DE CHO NHAU không . OI DAT NUOC VIET NAM OI . DUC Phat oi . CHA ONG OI . NGUOI VIETNAM CHUI VIETNAM DUNG NHUNG LOI VAN NAY SAO DAT NUOC MINH PHAT TRIEN DUOC Toi khen nhé . BAN se THANH CONG , I BELIEVE IN YOU . THANK YOU FOR WORKING"
9329,Nghe xúc phạm lỗ tai quá
9330,khó chịu vô cùng
9331,"Cảm ơn Đỗ Phú Quí vì bài hát này , thằng bạn em sau khi chơi Pickleball thì đã bị bóng vờn cho ngất xỉu , em bật Thick Of It của KSI nhưng nó không tỉnh nên em bật tạm bài này và bất ngờ nó tỉnh dậy để tắt đi . Cảm ơn anh rất nhiều ạ , nó đã cứu mạng thằng bạn em ! - Hội người điếc mãi support anh ! :smiling_face_with_hearts:"
9332,Thôi bạn nằm xuống đi bạn nằm viện được 6 năm rồi đó để tôi tắt nhạc cho :smiling_face_with_smiling_eyes: :smiling_face_with_smiling_eyes:
9333,Trường tôi cho tôi chơi trò này :nerd_face:
9334,? ?
9335,Tôi nghĩ tôi là người kiên cường khi dám nghe tới 20 giây của cả bài .
9336,lí do việt nam cần đầu tư xây nhiều bệnh viện hơn
9337,ra thêm nhiều mày vậy như được không anh footbal basketball volleyball em đang tập cửu âm lỗ tai cây
9338,Anh hẹn em pickleball :loudly_crying_face: :skull: :clown_face:
9339,Tôi cần bản không lời :skull: :skull:
9340,Trớt walk luôn á :face_with_tears_of_joy:
9341,Nhạc hay đến mức điếc tai luôn
9342,thick of it x pickleball
9343,Nhạc hay :cross_mark: Bình luận hay :check_mark_button:
9344,nhạc ảnh nồi vì dở :smiling_face_with_hearts:
9345,nhạc dành cho người điếc
9346,Cảm ơn anh nhiều bà chị họ em liệt 5 năm nghe bài này cái đứng dậy cầm cái điện thoại đập moẹ luôn cảm ơn anh nhiều :clown_face:
9347,Tài năng này nên giấu xuống cống
9348,Bài hát này giúp tôi hiểu được tác dụng của việc điếc cũng rất lớn :crying_face: :crying_face: :red_heart: :red_heart:
9349,"Cái bài hát là kết tinh của họi tụ đất trời , tuỵt vời"
9350,Sexy quá anh ơi :red_heart:
9351,"Tôi là thợ sửa chữa điện thoại , cảm ơn Quí đã mang lại cho tôi nguồn khách ổn định , liên tục có các ca sửa chữa loa điện thoại , máy tính đến do rè hoặc cháy . Mong bạn ra hơn nhiều MV để tôi có thể phát triển hơn !"
9352,Nhạc như cứt
9353,"Hay nhờ , TrQuốc lúc trc có Super Idol . Giờ Việt Nam mình có Pickelball cũng không kém = )"
9354,Thời trung cổ : người ta dùng bài pickleball để tra tấn nạn nhân
9355,Bí ý tưởng hay sao á :face_with_tears_of_joy:
9356,Ah rất có tài năng đó giấu mẹ nó đi :smiling_face_with_smiling_eyes: ah
9357,Thành meme
9358,pickleball :fire:
9359,1 like = 1 lần nghe lại
9360,Thử thách nghe bài này trong 3 tiếng không đột quỵ thì sẽ được thưởng 10 dollars : )
9361,ncc
9362,giá như bài này ra sớm hơn . Thì 5 năm trước tôi làm đòi nợ đâu có cần tốn nhiều công sức vậy
9363,“ Pích cà bô ”
9364,Nhạc sex gay à
9365,đẹp nhưng nhạc nhu cak
9366,Cảm ơn anh đã làm cho tai em bị điếc :moai:
9367,"Anh hẹn em Pickleball Ta vờn nhau Pickleball Tay vợt bên dưới hông Anh đập banh , đập banh Đến em mạnh vào Ta chỉ chơi Pickleball Không nên vượt mức Pickleball Đưa vợt anh tiếp banh High and low Từ thấp đến trên cao Ta chỉ gặp chơi Pickleball ."
9368,"S mọi người toàn chê ht vậy trời , kệ đi anh ơi : ) )"
9369,Nhà hàng tiệc cưới nếu thấy khách ngồi lâu quá có thể replay bài này liên tục
9370,"Đi nghĩa vụ liền cho tôi , như bong bóng chúa í"
9371,"Được đấy , tôi sẽ hát bài này trên xe lúc đi tham quan : ) )"
9372,nghe cái đéo gì thế này : )
9373,Dở như cứt á
9374,Bài hát hay nhất thế kỉ 21
9375,"Cảm ơn tác giả đã giúp tôi được ngủ yên bình vào mỗi đêm , không cần phải nghe mấy ông hàng xóm karaoke nữa"
9376,Tôi nghĩ bài hát này nên thêm vào các bài hát tra tất CIA thêm nó vào đi tù nhân sẽ bị khụm núm tới chết đó TIN TÔI
9377,Tay em bị tật mà nghe bài này hay quá nên em dùng tay tắt luôn :red_heart: ‍ :fire: :red_heart: ‍ :fire: :smiling_face_with_hearts: :smiling_face_with_hearts:
9378,vào nghe nhạc :cross_mark: vào đọc comment :check_mark_button:
9379,Đánh pickleball cùng j97 nữa phải gọi là hết xẩy con bà bảy
9380,Cảm ơn Đỗ Phú Quí đã tạo cơ hội cho chúng mình chiêm ngưỡng đấng sinh thành của Thick of it
9381,Hình thức tra tấn kinh khủng nhất mọi thời đại
9382,"Hay ma Lam gi che Dung la khan gia Vietnam Ngheo CHANG LAM GI CHO AI . MA ranh viec . . da coi free con GIAU . chui CAI MIENG len lut , ngheo TINH THUONG . MA CAI GI TREN INTERNET CUNG CHUI . AI CUNG CHE . . HEN GI NGUYEN NUOC VIET NAM ."
9383,"tại sao tôi không bấm được dislike , chẳng lẽ nhiều người bấm quá nên hư moẹ rồi ?"
9384,hẹn em không
9385,Đỗ phú quí nhìn như gay lời bài thì xàm vậy cũng ra hay cũng mạng đi diễn
9386,Dở quá quí ơi
9387,nửa đêm nghe mà sợ hơn gặp vong
9388,Mình nghe mà hai cái lỗ tai muốn bay ra ngoài luôn :face_with_tears_of_joy:
9389,Bài hát này như cái l0n
9390,""" gay go "" quá"
9391,tôi chỉ muốn nói với tgiả . cringe
9392,Xin chân thành cảm ơn anh đã cho Việt Nam một bài thuốc chữa táo bón
9393,bạn tôi hấp hối sắp chết nghe xong khỏe dậy đẻ tắt nhạt luôn tôi nghĩ đỗ phú quý nên làm bác sỉ
9394,Nếu đem bài này về Nhật Bản năm 1945 thay cho 2 quả bom nguyên tử thì không riêng gì hiroshima và nagasaki đâu mà cả Nhật Bản tan nát luôn : ) )
9395,"Sáng nay tôi định đem rác vứt khi nghe mùi thối vch , nhưng sau khi nghe bài này tôi nhận ra , rác cũng chưa thối lắm"
9396,thick of it còn tốt chán !
9397,"Tôi vốn là một bác sĩ tâm lí ở bệnh viện cấp cao thế giới , cả sự nghiệp của tôi chưa bao giờ phải nhận một cú sốc tâm lí nào cho đến ngày 28 / 11 năm nay , tôi tiếp nhận 1 bệnh nhân bị sốc tâm lí nặng nề , tôi luôn thắc mắc tại sao cho đến khi tôi thấy điện thoại của bệnh nhân vẫn được cầm trên tay , vì tò mò tôi mở lên và bài hát này được phát lên , kết quả là nó đã khủng bố tinh thần của tôi và bệnh nhân càng sốc nặng hơn . Bây giờ chiếc điện thoại đó đã được cho vào bảo tồn vũ khí tâm lí hạng nặng của thế giới mà nhân loại từng tạo ra bằng lời hát . Tôi hiện tại đã bỏ việc vì sợ nhận những cú sốc như vậy thêm 1 lần nữa và tôi tự nhốt mình trong phòng cách âm dày 10m . Cảm ơn Đỗ Phú Quí đã cho tôi biết thế nào được gọi là khủng bố và đã cho tôi biết mạng xã hội thế giới tàn khốc và đáng sợ thế nào . Chân thành cảm ơn tác giả , cảm ơn Đõ Phú Quý :red_heart: :red_heart:"
9398,Anh vừa ra trại hay sao mà sáng tác ra bài hát tra tấn man rợ với người nghe
9399,* _ - vô hạn - _ * cuộc gọi từ phim ma gọi cho phú quí để tài trợ nhạc nền cho họ :face_with_tears_of_joy:
9400,Tôi đang vừa chơi pickleball vừa nghe nhạc mình bật được nửa bài và bạn mình đã đập vỡ cây vợt và hôm đó mình và bạn đã có quyết định đúng đắng rằng là nghĩ chơi pickleball
9401,"Chưa nghe bài nào mà nó gây cho người có thị giác bình thường thành người mù , người nghe được thành người điếc như nhạc này : )"
9402,Thick of it chỉ còn là 1 cái tên
9403,Fat man và little boy sao mạnh được bằng pickle man
9404,tối tôi đang nằm thì lướt phải bài này sau đó tôi lên cơn co giật và phải vào bv cấp cứu
9405,Xích of đúyt bản việt nam à : )
9406,Đọc comment còn hay hơn nghe nhạc
9407,667788
9408,"Cảm ơn anh Đỗ Phú Quí , nghe xong bài này , mà tôi muốn buồn ỉa luôn"
